series_type,series_id,forecast_timestamp,forecast_revenue,feature,feature_value,shap_value,direction,base_value
category,Books & Media,2018-09-16,4705.55029296875,month_cos,-1.8369701987210297e-16,-4.345174789428711,down,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,week_sin,-0.970941817426052,-529.945556640625,down,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,week_cos,-0.23931566428755774,150.1123504638672,up,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,lag_1,4705.55029296875,-240.28318786621094,down,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,lag_4,1074.92,-424.2897033691406,down,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,lag_52,1003.36,522.3375854492188,up,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,rolling_mean_4,4021.362568359375,262.0401611328125,up,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,rolling_std_4,2182.6347309197404,179.05825805664062,up,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,year,2018.0,429.3213195800781,up,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,month,9.0,40.901947021484375,up,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,quarter,3.0,2.879704713821411,up,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,week_of_year,38.0,-228.52728271484375,down,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,day_of_week,6.0,0.0,neutral,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,is_weekend,1.0,0.0,neutral,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,days_to_month_end,7.0,-313.31561279296875,down,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,month_sin,-1.0,68.47496795654297,up,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,month_cos,-1.8369701987210297e-16,-12.437031745910645,down,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,week_sin,-0.992708874098054,-1091.6572265625,down,3501.25634765625
category,Books & Media,2018-09-23,2838.25634765625,week_cos,-0.12053668025532357,142.49693298339844,up,3501.25634765625
category,Electronics & Computing,2018-09-02,39612.859375,lag_1,12245.78,-240.22760009765625,down,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,lag_4,26704.84,2099.175537109375,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,lag_52,63972.47,1867.1258544921875,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,rolling_mean_4,22217.545000000002,2792.99755859375,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,rolling_std_4,7552.772587553527,52.356773376464844,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,year,2018.0,30.276348114013672,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,month,9.0,628.6001586914062,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,quarter,3.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,week_of_year,35.0,816.235107421875,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,day_of_week,6.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,is_weekend,1.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,days_to_month_end,28.0,982.6354370117188,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,month_sin,-1.0,8119.45556640625,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,month_cos,-1.8369701987210297e-16,1025.244140625,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,week_sin,-0.8854560256532096,67.7530288696289,up,19808.994140625
category,Electronics & Computing,2018-09-02,39612.859375,week_cos,-0.4647231720437691,1562.2235107421875,up,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,lag_1,39612.859375,3005.544677734375,up,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,lag_4,29233.04,1223.4461669921875,up,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,lag_52,29348.41,2337.294677734375,up,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,rolling_mean_4,25444.54984375,-53.84479904174805,down,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,rolling_std_4,11718.077572986858,-82.72982025146484,down,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,year,2018.0,49.365623474121094,up,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,month,9.0,398.1714782714844,up,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,quarter,3.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,week_of_year,36.0,-723.6452026367188,down,19808.994140625
